Law clerks have assisted the Supreme Court Justices in various capacities, since the first one was hired by Justice Horace Gray in 1882.[1]:1 By the traditions and rules that have developed around this procedure today the eight Associate Justices on the Supreme Court of the United States have the opportunity to select four law clerks each term of the court. The Chief Justice is allowed five clerks, but often hires fewer.[1]:195 After retiring from the Court, a justice may continue to hire a law clerk, who may be assigned to provide additional assistance to an active justice, or assist the retired justice when sitting by designation with a lower court.

Contents  [hide] 
1 List of Supreme Court law clerks
2 Notes
3 See also
4 References
5 Additional sources
6 External links
List of Supreme Court law clerks[edit]
The following sortable table[a] lists more than 1,900 law clerks who have served for Supreme Court justices, the years their service began and ended, the law school they attended (with the year they graduated), and any previous clerkships they held.

Seat = Supreme Court Justice Seat[b]
Num = Order that Supreme Court Justice was appointed


Seat	Num	Justice	Law clerk	Started	Finished	Law school (year)	Previous clerkship
CJ	97	Warren E. Burger	William K. Kelley (shared with Scalia)	1988	1989	Harvard (1987)	Starr (D.C. Cir)
CJ	97	Warren E. Burger	Von G. Keetch (shared with Scalia)	1989	1990	BYU (1987)	G. Pratt (2d Cir.)
CJ	97	Warren E. Burger	Ashby D. Boyle II (shared with O'Connor)	1990	1991	Columbia (1990)	None
CJ	97	Warren E. Burger	John E. Barry (shared with Kennedy)	1991	1992	Columbia (1985)	L. Campbell (1st Cir.)
CJ	97	Warren E. Burger	Karl M. Tilleman (shared with Thomas)	1992	1993	BYU (1990)	J. Noonan (9th Cir.)
CJ	97	Warren E. Burger	James E. Gauch (shared with Thomas)	1993	1994	Chicago (1989)	D. A. Nelson (6th Cir.)
CJ	97	Warren E. Burger	Eric A. Grant (shared with Thomas)	1994	1995	Berkeley (1990)	E. Jones (5th Cir.)
CJ	100	William Rehnquist	David G. Leitch	1986	1987	Virginia (1985)	Wilkinson (4th Cir.)
CJ	100	William Rehnquist	William R. Lindsay	1986	1987	Berkeley (1985)	McGowan (D.C. Cir)
CJ	100	William Rehnquist	Laura E. Little	1986	1987	Temple (1985)	Hunter (3d Cir.)
CJ	100	William Rehnquist	J. Anthony Downs	1987	1988	Chicago (1986)	Oakes (2d Cir.)
CJ	100	William Rehnquist	R. Charles Miller	1987	1988	Penn (1985)	S. Robinson (D.C. Cir)
CJ	100	William Rehnquist	William L. Taylor	1987	1988	Yale (1986)	Wisdom (5th Cir.)
CJ	100	William Rehnquist	Lindley J. Brenza	1988	1989	Chicago (1987)	Easterbrook (7th Cir.)
CJ	100	William Rehnquist	Robert J. Giuffra	1988	1989	Yale (1987)	R. Winter (2d Cir.)
CJ	100	William Rehnquist	Melissa L. Saunders	1988	1989	Virginia (1987)	J. D. Phillips (4th Cir.)
CJ	100	William Rehnquist	Steven M. Colloton	1989	1990	Yale (1988)	Silberman (D.C. Cir.)
CJ	100	William Rehnquist	Barry P. McDonald	1989	1990	Northwestern (1988)	Logan (10th Cir.)
CJ	100	William Rehnquist	James K. Vines	1989	1990	Washington & Lee (1988)	Merhige (E.D. Va.)
CJ	100	William Rehnquist	Jeffrey L. Bleich	1990	1991	Berkeley (1989)	Mikva (D.C. Cir.)
CJ	100	William Rehnquist	Bruce R. Braun	1990	1991	Virginia (1989)	Flaum (7th Cir.)
CJ	100	William Rehnquist	Monica J. Wahl (Shaffer)	1990	1991	Chicago	P. Higginbotham (5th Cir.)
CJ	100	William Rehnquist	Audrey J. Anderson	1991	1992	Michigan (1990)	H. Greene (D.D.C.)
CJ	100	William Rehnquist	Eric F. Scheuermann	1991	1992	Harvard (1990)	J. C. Wallace (9th Cir.)
CJ	100	William Rehnquist	Ronald J. Tenpas	1991	1992	Virginia (1990)	L. Pollak (E.D. Pa.)
CJ	100	William Rehnquist	Gregory G. Garre	1992	1993	GW (1991)	Scirica (3d Cir.)
CJ	100	William Rehnquist	Richard C. Pepperman II	1992	1993	Penn (1990)	Becker (3d Cir.)
CJ	100	William Rehnquist	Celestine J. Richards (McConville)	1992	1993	Georgetown (1991)	C. Hall (9th Cir.) / Nugent (N.D. Ohio)
CJ	100	William Rehnquist	Landis C. Best	1993	1994	Duke	Tilley (M.D.N.C.)
CJ	100	William Rehnquist	Brian M. Morris	1993	1994	Stanford (1992)	J. Noonan (9th Cir.)
CJ	100	William Rehnquist	James E. Ryan	1993	1994	Virginia (1992)	J. C. Wallace (9th Cir.)
CJ	100	William Rehnquist	Jody A. Manier (Kris)	1994	1995	Chicago (1993)	S. Williams (D.C. Cir.)
CJ	100	William Rehnquist	Stephen M. Sargent	1994	1995	BYU (1993)	Tacha (10th Cir.)
CJ	100	William Rehnquist	Paul J. Zidlicky	1994	1995	GW (1993)	F. Magill (8th Cir.)
CJ	100	William Rehnquist	Eric R. Claeys	1995	1996	USC (1994)	Brunetti (9th Cir.)
CJ	100	William Rehnquist	Shawn F. Fagan	1995	1996	Harvard (1994)	D. Ginsburg (D.C. Cir.)
CJ	100	William Rehnquist	Courtney Simmons (Elwood)	1995	1996	Yale (1994)	Luttig (4th Cir.)
CJ	100	William Rehnquist	R. Ted Cruz	1996	1997	Harvard (1995)	Luttig (4th Cir.)
CJ	100	William Rehnquist	Richard W. Garnett	1996	1997	Yale (1995)	R. Arnold (8th Cir.)
CJ	100	William Rehnquist	David H. Hoffman	1996	1997	Chicago (1995)	Jacobs (2d Cir.)
CJ	100	William Rehnquist	John P. Kelsh	1997	1998	Northwestern (1996)	Sentelle (D.C. Cir.)
CJ	100	William Rehnquist	Matthew T. Martens	1997	1998	North Carolina (1996)	Sentelle (D.C. Cir.)
CJ	100	William Rehnquist	Sarah O. Newland (Jorgensen)	1997	1998	Harvard (1995)	Silberman (D.C. Cir.)
CJ	100	William Rehnquist	Christopher P. Bowers	1998	1999	Chicago (1997)	Rymer (9th Cir.)
CJ	100	William Rehnquist	Neil M. Richards	1998	1999	Virginia (1997)	Niemeyer (4th Cir.)
CJ	100	William Rehnquist	Robert G. Schaffer	1998	1999	Duke (1996)	Tacha (10th Cir.)
CJ	100	William Rehnquist	Kevin R. Boyle	1999	2000	Arizona (1997)	Brunetti (9th Cir.)
CJ	100	William Rehnquist	Jay T. Jorgensen	1999	2000	BYU (1997)	Alito (3d Cir.)
CJ	100	William Rehnquist	Rosemarie K. Nixon (Blase)	1999	2000	Notre Dame (1998)	Loken (8th Cir.)
CJ	100	William Rehnquist	Luke A. Sobota	2000	2001	Chicago (1999)	Rymer (9th Cir.)
CJ	100	William Rehnquist	Mark T. Stancil	2000	2001	Virginia (1999)	Ebel (10th Cir.)
CJ	100	William Rehnquist	Jocelyn E. Strauber	2000	2001	Duke (1998)	Randolph (D.C. Cir)
CJ	100	William Rehnquist	Gregg Costa	2001	2002	Texas (1999)	Randolph (D.C. Cir)
CJ	100	William Rehnquist	Heidi C. Doerhoff	2001	2002	Missouri (2000)	Gibson (8th Cir.)
CJ	100	William Rehnquist	Brett H. McGurk	2001	2002	Columbia (1999)	Jacobs (2d Cir.) / G. Lynch (S.D.N.Y.)
